・0157

◆ バクフーンが覚える技
技名	タイプ	分類	威力	命中	PP	接触	説明
パワースワップ	エスパー	変化	-	-	12	×	自分と相手の『こうげき』『とくこう』ランクを入れ替える。
めいそう	エスパー	変化	-	-	20	×	自分の『とくこう』『とくぼう』ランクが1段階ずつ上がる。
ふういん	エスパー	変化	-	-	12	×	自分が『ふういん』状態になり、自分が場を離れるまで、自分が覚えている技と同じ技を相手のポケモンは使えなくなる。
スキルスワップ	エスパー	変化	-	-	12	×	自分と相手の特性を入れ替える。ただし、『ふしぎなまもり』など一部の固有な特性は入れ替えられない。ダイマックスしている相手には無効。
トリック	エスパー	変化	-	100	12	×	相手と自分が持っている道具を入れ替える。片方しか道具を持っていない場合も成功する。
ねむる	エスパー	変化	-	-	8	×	HPと状態異常をすべて回復した後、2ターンの間『ねむり』状態になり、3ターン目で目を覚ます。
ドわすれ	エスパー	変化	-	-	20	×	自分の『とくぼう』ランクを2段階上げる。
ポルターガイスト	ゴースト	物理	110	90	8	×	相手が道具を持っていない時は失敗する。なお、相手の道具を無効にする効果はない。
ゴーストダイブ	ゴースト	物理	90	100	12	○	1ターン目に消えて、2ターン目に攻撃する。消えている間はほとんどの技を受けない。相手の『まもる』『みきり』『たたみがえし』『トーチカ』『キングシールド』『ニードルガード』『ブロッキング』『スレッドトラップ』『かえんのまもり』の効果を受けない(『ダイウォール』を除く)。(なお、第7世代以降は相手が『ちいさくなる』を使っている時の必中2倍効果はない)
シャドークロー	ゴースト	物理	70	100	16	○	急所に当たりやすい(急所ランク:+1)。
シャドーパンチ	ゴースト	物理	60	-	20	○	自分の命中率、相手の回避率に関係なく必ず命中する。特性『てつのこぶし』の時、威力が1.2倍になる。
シャドーボール	ゴースト	特殊	80	100	16	×	20%の確率で相手の『とくぼう』ランクを1段階下げる。
たたりめ	ゴースト	特殊	65	100	12	×	相手が状態異常の時、威力が2倍になる。
ナイトヘッド	ゴースト	特殊	-	100	16	×	自分のレベルと同じ値の固定ダメージを与える。『ノーマル』タイプには無効だが、それ以外のタイプ相性の影響を受けない。
みちづれ	ゴースト	変化	-	-	8	×	自分は『みちづれ』状態となり、次の自分のターンまでに相手の攻撃で『ひんし』状態になると、相手も『ひんし』状態になる。ダイマックスしている相手には効果がない。第7世代以降は、連続で使うと必ず失敗する。
のろい	ゴースト	変化	-	-	12	×	自分のタイプが『ゴースト』タイプの時は自分のHPを最大HPの半分だけ減らして、相手を『のろい』状態にする。『のろい』状態になると毎ターン、HPが最大HPの1/4ずつ減る。それ以外のポケモンの場合『すばやさ』ランクが1段階下がり、『こうげき』『ぼうぎょ』ランクが1段階ずつ上がる。
あやしいひかり	ゴースト	変化	-	100	12	×	相手を1~4ターンの間『こんらん』状態にする。
りゅうのはどう	ドラゴン	特殊	85	100	12	×	通常攻撃。
ぶんまわす	あく	物理	60	100	20	○	自分以外全員が対象。通常攻撃。
どろぼう	あく	物理	60	100	20	○	相手が持っている道具を自分の物にする。自分が既に道具を持っている場合は失敗するが、技『はたきおとす』で自分の道具が無効化されている時は奪う事ができ、道具は上書きされる。トレーナー戦の場合はバトル終了後になくなる。
しっぺがえし	あく	物理	50	100	12	○	自分が後攻の時、威力が2倍になる。
あくのはどう	あく	特殊	80	100	16	×	20%の確率で相手をひるませる。
わるだくみ	あく	変化	-	-	20	×	自分の『とくこう』ランクを2段階上げる。
うそなき	あく	変化	-	100	20	×	相手の『とくぼう』ランクを2段階下げる。
ちょうはつ	あく	変化	-	100	20	×	3ターンの間、相手は攻撃技しか出せなくなる。(変化技を使えなくする)
おきみやげ	あく	変化	-	100	12	×	自分が『ひんし』になる代わりに、相手の『こうげき』『とくこう』ランクを2段階ずつ下げる。
てっぺき	はがね	変化	-	-	16	×	自分の『ぼうぎょ』ランクを2段階上げる。

・0869

◆ マホイップが覚える技
技名	タイプ	分類	威力	命中	PP	接触	説明
ギガインパクト	ノーマル	物理	150	90	8	○	使用した次のターンは行動できない。
とっておき	ノーマル	物理	140	100	8	○	この技は自分の持っている他の技をすべて使うと使えるようになる。
からげんき	ノーマル	物理	70	100	20	○	自分が『どく』『まひ』『やけど』状態の時、威力が2倍になる。『やけど』による『こうげき』の半減の影響を受けない。
がむしゃら	ノーマル	物理	-	100	8	○	相手の残りHPから自分の残りHPを引いた分のダメージを与える。『ゴースト』タイプには無効だが、それ以外のタイプ相性の影響を受けない。
はかいこうせん	ノーマル	特殊	150	90	8	×	使用した次のターンは行動できない。
トライアタック	ノーマル	特殊	80	100	12	×	20%の確率で相手を『まひ』『やけど』『こおり』状態のうちの1つにする。どの状態異常になるかはランダム。
りんしょう	ノーマル	特殊	60	100	16	×	同じターンに他のポケモンも『りんしょう』を使おうとすると、『すばやさ』に関係なく最初に使用したポケモンに続いて使用でき、最初以外の『りんしょう』は威力が2倍になる。音系の技。相手の『みがわり』状態を貫通する。(ダブルバトル用)
いびき	ノーマル	特殊	50	100	16	×	自分が『ねむり』状態の時のみ使用可能。30%の確率で相手をひるませる。音系の技。相手の『みがわり』状態を貫通する。
なかまづくり	ノーマル	変化	-	100	16	×	相手の特性を自分と同じ特性にする。ダイマックスしている相手には無効。
てだすけ	ノーマル	変化	-	-	20	×	必ず先制できる(優先度:+5)。使用したターンの間、味方の技の威力を1.5倍にする。
じこあんじ	ノーマル	変化	-	-	12	×	相手の能力ランクの変化を、すべて自分にコピーする。
あまいかおり	ノーマル	変化	-	100	20	×	相手全体が対象。相手の回避率を2段階下げる。
アンコール	ノーマル	変化	-	100	8	×	3ターンの間、相手は最後に使用した技しか使えなくなる。ただし、PPが0になると解除される。相手の技が『ものまね』『ゆびをふる』『オウムがえし』『へんしん』『わるあがき』『スケッチ』『ねごと』『アンコール』『しぜんのちから』『ねこのて』『さきどり』『まねっこ』『ダイマックスほう』『バーンアクセル』『ダークアクセル』『ポイズンアクセル』『ファイトアクセル』『マジカルアクセル』の場合は失敗する。ダイマックスしているポケモンには無効。なお、ダイマックス技や第7世代のZワザは影響を受けずに使うことができる。
いたみわけ	ノーマル	変化	-	-	20	×	自分と相手のHPを2匹の残りHPの平均値にする(足して2で割る)。ダイマックス時は、もとのHPで平均値を計算して、もとのHPと平均値との差分値を現在のダイマックス時のHPから増減する。
しんぴのまもり	ノーマル	変化	-	-	20	×	5ターンの間、味方の場を『しんぴのまもり』状態にして、自分と味方のポケモンは状態異常と『こんらん』状態にならなくなる。交代しても効果は続く。
ねごと	ノーマル	変化	-	-	12	×	自分が『ねむり』状態の時のみ使用可能。自分の持っている技のうち1つをランダムで使う。PPが減少するのはこの技のみ。
メロメロ	ノーマル	変化	-	100	16	×	相手が自分とは異なる性別の場合、相手を『メロメロ』状態にする。『メロメロ』状態になると、50%の確率で相手は自分に攻撃できなくなる。自分と相手の性別が同じ時や、どちらかが性別不明の場合は失敗する。
こらえる	ノーマル	変化	-	-	12	×	必ず先制できる(優先度:+4)。そのターンに『ひんし』状態になる攻撃を受けてもHPが1残る。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。
まもる	ノーマル	変化	-	-	8	×	必ず先制でき(優先度:+4)、そのターンの間、相手の技を受けない。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。ダイマックス技や第7世代のZワザの攻撃技は貫通し、1/4のダメージを受ける。
みがわり	ノーマル	変化	-	-	12	×	自分のHPを最大HPの1/4だけ減らして、減らしたHPと同じHPの自分の分身を作り、分身のHPが0になるまですべての攻撃を自分の代わりに分身が受ける。分身は状態異常にならない。ただし、音系の技などはそのまま受ける。相手のダイマックス技も防げるが、自分がダイマックスすると分身が消える。
じこさいせい	ノーマル	変化	-	-	8	×	HPが最大HPの半分回復する。
ソーラービーム	くさ	特殊	120	100	12	×	1ターン目は攻撃せずに、2ターン目で攻撃する。天気が『にほんばれ』の時は1ターンためずに攻撃でき、『あめ』『ゆき』『すなあらし』の時は威力が半分になる。
エナジーボール	くさ	特殊	90	100	12	×	10%の確率で相手の『とくぼう』ランクを1段階下げる。
ギガドレイン	くさ	特殊	75	100	12	×	相手に与えたダメージの半分だけ自分のHPが回復する。
マジカルフレイム	ほのお	特殊	75	100	12	×	100%の確率で相手の『とくこう』ランクを1段階下げる。
とける	どく	変化	-	-	20	×	自分の『ぼうぎょ』ランクを2段階上げる。
ドレインパンチ	かくとう	物理	75	100	12	○	相手に与えたダメージの半分だけ自分のHPが回復する。特性『てつのこぶし』の時、威力が1.2倍になる。
サイコキネシス	エスパー	特殊	90	100	12	×	10%の確率で相手の『とくぼう』ランクを1段階下げる。
サイコショック	エスパー	特殊	80	100	12	×	相手の『とくぼう』ではなく、相手の『ぼうぎょ』の能力値でダメージ計算する。
アシストパワー	エスパー	特殊	20	100	12	×	自分のいずれかの能力ランクが1つ上がる度に威力が20上がる。
マジックルーム	エスパー	変化	-	-	12	×	5ターンの間、すべてのポケモンの道具の効果がなくなる。
ワンダールーム	エスパー	変化	-	-	12	×	5ターンの間、すべてのポケモンの『ぼうぎょ』と『とくぼう』の能力値が入れ替わる。もう1度使用すると元に戻る。
めいそう	エスパー	変化	-	-	20	×	自分の『とくこう』『とくぼう』ランクが1段階ずつ上がる。
ふういん	エスパー	変化	-	-	12	×	自分が『ふういん』状態になり、自分が場を離れるまで、自分が覚えている技と同じ技を相手のポケモンは使えなくなる。
ねむる	エスパー	変化	-	-	8	×	HPと状態異常をすべて回復した後、2ターンの間『ねむり』状態になり、3ターン目で目を覚ます。
ひかりのかべ	エスパー	変化	-	-	20	×	5ターンの間、相手の特殊攻撃のダメージを半分にする。味方が複数の場合は半分ではなく2/3になる。急所に当たった場合は軽減されない。交代しても効果は続く。
なげつける	あく	物理	-	100	12	×	自分の持っている道具によって効果が変化する。投げつけた道具はなくなる。
うそなき	あく	変化	-	100	20	×	相手の『とくぼう』ランクを2段階下げる。
じゃれつく	フェアリー	物理	90	90	12	○	10%の確率で相手の『こうげき』ランクを1段階下げる。
ミストバースト	フェアリー	特殊	100	100	8	×	自分以外全員が対象。攻撃後、自分が『ひんし』状態になる。場の状態が『ミストフィールド』で、自分が『ひこう』タイプや特性『ふゆう』などではなく地面にいる時、威力が1.5倍になる。
みわくのボイス	フェアリー	特殊	80	100	12	×	100%の確率で、そのターンの間に能力ランクが上がった相手ポケモンを1~4ターンの間『こんらん』状態にする(通常は後攻で攻撃する必要があるが、場に出た時に能力ランクが上がった場合も対象となる)。音系の技。相手の『みがわり』状態を貫通する。
マジカルシャイン	フェアリー	特殊	80	100	12	×	相手全体が対象。通常攻撃。
ドレインキッス	フェアリー	特殊	50	100	12	○	相手に与えたダメージの3/4だけ自分のHPが回復する。
デコレーション	フェアリー	変化	-	-	16	×	相手の『こうげき』『とくこう』ランクを2段階ずつ上げる(主にダブルバトルで味方に使うと良い)。この技は『ダイウォール』の効果も受けない。
つぶらなひとみ	フェアリー	変化	-	100	20	×	必ず先制できる(優先度:+1)。相手の『こうげき』ランクを1段階下げる。
アロマミスト	フェアリー	変化	-	-	20	×	味方1体の『とくぼう』を1段階上げる(ダブルバトル用)。この技は『ダイウォール』の効果も受けない。
ミストフィールド	フェアリー	変化	-	-	12	×	5ターンの間、場の状態を『ミストフィールド』にする。『ひこう』タイプや特性『ふゆう』などではない地面にいるすべてのポケモンは、状態異常にならず、また『ドラゴン』タイプの技の威力が半減する。すでに状態異常の場合は回復しない。また、道具『ミストシード』を持ったポケモンは『とくぼう』ランクが1段階上がる(この効果は、地面にいないポケモンでも発動する)。
あまえる	フェアリー	変化	-	100	20	×	相手の『こうげき』ランクを2段階下げる。
てんしのキッス	フェアリー	変化	-	75	12	×	相手を1~4ターンの間『こんらん』状態にする。

・0877

◆ モルペコが覚える技
技名	タイプ	分類	威力	命中	PP	接触	説明
すてみタックル	ノーマル	物理	120	100	16	○	相手に与えたダメージの33%を自分も受ける。
あばれる	ノーマル	物理	120	100	12	○	自分は『あばれ』状態となり、2~3ターン連続で攻撃し、他の行動はできない。その後1~4ターンの間『こんらん』状態になる。
からげんき	ノーマル	物理	70	100	20	○	自分が『どく』『まひ』『やけど』状態の時、威力が2倍になる。『やけど』による『こうげき』の半減の影響を受けない。
こうそくスピン	ノーマル	物理	50	100	20	○	自分が受けている技『うずしお』『からではさむ』『サンダープリズン』『しめつける』『すなじごく』『トラバサミ』『ほのおのうず』『マグマストーム』『まきつく』『やどりぎのタネ』および自分の場の『ステルスロック』『どくびし』『まきびし』『ねばねばネット』の効果を解除する。第8世代からは、攻撃後、100%の確率で自分の『すばやさ』ランクが1段階上がる。(第7世代までは威力20)
ねこだまし	ノーマル	物理	40	100	12	○	必ず先制でき(優先度:+3)、100%の確率で相手をひるませる。ただし、出た最初のターンしか成功しない。
でんこうせっか	ノーマル	物理	40	100	20	○	必ず先制できる(優先度:+1)。
がむしゃら	ノーマル	物理	-	100	8	○	相手の残りHPから自分の残りHPを引いた分のダメージを与える。『ゴースト』タイプには無効だが、それ以外のタイプ相性の影響を受けない。
いかりのまえば	ノーマル	物理	-	90	12	○	相手のHPを残りHPの半分にする。残りHPが1の場合は1ダメージ。『ゴースト』タイプには無効だが、それ以外のタイプ相性の影響を受けない。
さわぐ	ノーマル	特殊	90	100	12	×	3ターン連続で攻撃し、その間はすべてのポケモンが『ねむり』状態にならない。音系の技。相手の『みがわり』状態を貫通する。
りんしょう	ノーマル	特殊	60	100	16	×	同じターンに他のポケモンも『りんしょう』を使おうとすると、『すばやさ』に関係なく最初に使用したポケモンに続いて使用でき、最初以外の『りんしょう』は威力が2倍になる。音系の技。相手の『みがわり』状態を貫通する。(ダブルバトル用)
いびき	ノーマル	特殊	50	100	16	×	自分が『ねむり』状態の時のみ使用可能。30%の確率で相手をひるませる。音系の技。相手の『みがわり』状態を貫通する。
くすぐる	ノーマル	変化	-	100	20	×	相手の『こうげき』『ぼうぎょ』ランクを1段階ずつ下げる。
バトンタッチ	ノーマル	変化	-	-	20	×	他の味方のポケモンと交代し、かかっていた補助効果を引き継ぐ。
ねごと	ノーマル	変化	-	-	12	×	自分が『ねむり』状態の時のみ使用可能。自分の持っている技のうち1つをランダムで使う。PPが減少するのはこの技のみ。
いばる	ノーマル	変化	-	85	16	×	相手を1~4ターンの間『こんらん』状態にするが、相手の『こうげき』ランクを2段階上げてしまう。
こらえる	ノーマル	変化	-	-	12	×	必ず先制できる(優先度:+4)。そのターンに『ひんし』状態になる攻撃を受けてもHPが1残る。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。
こわいかお	ノーマル	変化	-	100	12	×	相手の『すばやさ』ランクを2段階下げる。
まもる	ノーマル	変化	-	-	8	×	必ず先制でき(優先度:+4)、そのターンの間、相手の技を受けない。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。ダイマックス技や第7世代のZワザの攻撃技は貫通し、1/4のダメージを受ける。
みがわり	ノーマル	変化	-	-	12	×	自分のHPを最大HPの1/4だけ減らして、減らしたHPと同じHPの自分の分身を作り、分身のHPが0になるまですべての攻撃を自分の代わりに分身が受ける。分身は状態異常にならない。ただし、音系の技などはそのまま受ける。相手のダイマックス技も防げるが、自分がダイマックスすると分身が消える。
タネばくだん	くさ	物理	80	100	16	×	通常攻撃。
タネマシンガン	くさ	物理	25	100	20	×	1ターンに2~5回連続で攻撃する。
ほのおのキバ	ほのお	物理	65	95	16	○	10%の確率で相手を『やけど』状態にする。10%の確率で、相手をひるませる。
オーラぐるま	でんき	物理	110	100	12	×	100%の確率で自分の『すばやさ』ランクが1段階上がる。自分の『モルペコ』のフォルムが『まんぷくもよう』の時は『でんき』タイプ、『はらぺこもよう』の時は『あく』タイプの技になる。
ワイルドボルト	でんき	物理	90	100	16	○	相手に与えたダメージの1/4を自分も受ける。
かみなりパンチ	でんき	物理	75	100	16	○	10%の確率で相手を『まひ』状態にする。特性『てつのこぶし』の時、威力が1.2倍になる。
かみなりのキバ	でんき	物理	65	95	16	○	10%の確率で相手を『まひ』状態にする。10%の確率で、相手をひるませる。
かみなり	でんき	特殊	110	70	12	×	30%の確率で相手を『まひ』状態にする。天気が『あめ』の時は必ず命中し、『にほんばれ』の時は命中率が50%になる。相手が技『そらをとぶ』『とびはねる』『フリーフォール』を使っている時でも命中する。
10まんボルト	でんき	特殊	90	100	16	×	10%の確率で相手を『まひ』状態にする。
ライジングボルト	でんき	特殊	70	100	20	×	場の状態が『エレキフィールド』で、なおかつ相手が『ひこう』タイプや特性『ふゆう』などではなく地面にいる時、威力が2倍になる(自分も地面にいれば、フィールドの1.3倍の効果もさらに加わる)。
ボルトチェンジ	でんき	特殊	70	100	20	×	攻撃後、手持ちのポケモンと入れ替わる。
エレキネット	でんき	特殊	55	95	16	×	相手全体が対象。100%の確率で相手の『すばやさ』ランクを1段階下げる。
チャージビーム	でんき	特殊	50	90	12	×	70%の確率で自分の『とくこう』ランクが1段階上がる。
エレキボール	でんき	特殊	-	100	12	×	相手より『すばやさ』が高いほど威力が高くなる。1倍未満は40、2倍未満は60、3倍未満は80、4倍未満は120、それ以上は150。
エレキフィールド	でんき	変化	-	-	12	×	5ターンの間、場の状態を『エレキフィールド』にする。『ひこう』タイプや特性『ふゆう』などではない地面にいるすべてのポケモンは、『ねむり』『ねむけ』(『あくび』)状態にならず、また『でんき』タイプの技の威力が1.3倍になる(第7世代までは1.5倍)。すでに『ねむり』状態の場合は回復しない。また、道具『エレキシード』を持ったポケモンは『ぼうぎょ』ランクが1段階上がる(この効果は、地面にいないポケモンでも発動する)。
かいでんぱ	でんき	変化	-	100	16	×	相手の『とくこう』ランクを2段階下げる。
じゅうでん	でんき	変化	-	-	20	×	でんき威力アップ状態になり、一度だけ次回使う自分の『でんき』タイプの技の威力が2倍になる(第8世代までは次のターンまでだけ)。また、自分の『とくぼう』ランクが1段階上がる。
でんじは	でんき	変化	-	90	20	×	相手を『まひ』状態にする。『じめん』タイプや『でんき』タイプには無効。
じだんだ	じめん	物理	75	100	12	○	前のターンで自分が使った技が外れたり失敗したり、『まひ』『こんらん』『ひるみ』状態などで行動できなかった場合、威力が2倍になる。
こおりのキバ	こおり	物理	65	95	16	○	10%の確率で相手を『こおり』状態にする。10%の確率で、相手をひるませる。
かわらわり	かくとう	物理	75	100	16	○	相手の技『リフレクター』『ひかりのかべ』『オーロラベール』を解除して攻撃する。
きしかいせい	かくとう	物理	-	100	16	○	自分の残りHPが少ないほど威力が高くなる。(威力は20~200)
サイコファング	エスパー	物理	85	100	12	○	相手の技『リフレクター』『ひかりのかべ』『オーロラベール』を解除して攻撃する。
ねむる	エスパー	変化	-	-	8	×	HPと状態異常をすべて回復した後、2ターンの間『ねむり』状態になり、3ターン目で目を覚ます。
こうそくいどう	エスパー	変化	-	-	20	×	自分の『すばやさ』ランクが2段階上がる。
うらみ	ゴースト	変化	-	100	12	×	相手の最後に使った技のPPを4減らす。
げきりん	ドラゴン	物理	120	100	12	○	自分は『あばれ』状態となり、2~3ターン連続で攻撃し、他の行動はできない。その後1~4ターンの間『こんらん』状態になる。
イカサマ	あく	物理	95	100	16	○	自分の『こうげき』ではなく、相手の『こうげき』の能力値でダメージ計算する。
かみくだく	あく	物理	80	100	16	○	20%の確率で相手の『ぼうぎょ』ランクを1段階下げる。
うっぷんばらし	あく	物理	75	100	8	○	そのターンの間に自分の能力ランクを下げられていると、威力が2倍になる(通常は後攻で攻撃する必要があるが、場に出た時に能力ランクを下げられた場合も対象となる)。
はたきおとす	あく	物理	65	100	20	○	相手が道具を持っている場合、威力が1.5倍になり、さらに道具を持っていない状態にする。戦闘終了後、道具は元に戻る。
ダメおし	あく	物理	60	100	12	○	そのターン、相手が既にダメージを受けている時、威力が2倍になる。
どろぼう	あく	物理	60	100	20	○	相手が持っている道具を自分の物にする。自分が既に道具を持っている場合は失敗するが、技『はたきおとす』で自分の道具が無効化されている時は奪う事ができ、道具は上書きされる。トレーナー戦の場合はバトル終了後になくなる。
かみつく	あく	物理	60	100	20	○	30%の確率で相手をひるませる。
しっぺがえし	あく	物理	50	100	12	○	自分が後攻の時、威力が2倍になる。
つけあがる	あく	物理	20	100	12	○	自分のいずれかの能力ランクが1つ上がる度に威力が20上がる。
なげつける	あく	物理	-	100	12	×	自分の持っている道具によって効果が変化する。投げつけた道具はなくなる。
あくのはどう	あく	特殊	80	100	16	×	20%の確率で相手をひるませる。
バークアウト	あく	特殊	55	95	16	×	相手全体が対象。100%の確率で相手の『とくこう』ランクを1段階下げる。音系の技。相手の『みがわり』状態を貫通する。
すてゼリフ	あく	変化	-	100	20	×	相手の『こうげき』『とくこう』ランクを1段階下げたあと、手持ちのポケモンと入れ替わる。音系の技。相手の『みがわり』状態を貫通する。
さきおくり	あく	変化	-	100	16	×	相手は『すばやさ』に関係なく、行動が最後になる。ダブルバトル用。
わるだくみ	あく	変化	-	-	20	×	自分の『とくこう』ランクを2段階上げる。
うそなき	あく	変化	-	100	20	×	相手の『とくぼう』ランクを2段階下げる。
ちょうはつ	あく	変化	-	100	20	×	3ターンの間、相手は攻撃技しか出せなくなる。(変化技を使えなくする)
おだてる	あく	変化	-	100	16	×	相手を1~4ターンの間『こんらん』状態にするが、相手の『とくこう』ランクを1段階上げてしまう。
いちゃもん	あく	変化	-	100	16	×	使用後、相手は同じ技を連続で出せなくなる。ダイマックスしている相手には無効。

・0887

◆ ドラパルトが覚える技
技名	タイプ	分類	威力	命中	PP	接触	説明
ギガインパクト	ノーマル	物理	150	90	8	○	使用した次のターンは行動できない。
とっておき	ノーマル	物理	140	100	8	○	この技は自分の持っている他の技をすべて使うと使えるようになる。
すてみタックル	ノーマル	物理	120	100	16	○	相手に与えたダメージの33%を自分も受ける。
のしかかり	ノーマル	物理	85	100	16	○	30%の確率で相手を『まひ』状態にする。相手が技『ちいさくなる』を使用していると必ず命中し、威力が2倍になる。
からげんき	ノーマル	物理	70	100	20	○	自分が『どく』『まひ』『やけど』状態の時、威力が2倍になる。『やけど』による『こうげき』の半減の影響を受けない。
でんこうせっか	ノーマル	物理	40	100	20	○	必ず先制できる(優先度:+1)。
ダブルアタック	ノーマル	物理	35	90	12	○	1ターンに2回連続で攻撃する。
はかいこうせん	ノーマル	特殊	150	90	8	×	使用した次のターンは行動できない。
トライアタック	ノーマル	特殊	80	100	12	×	20%の確率で相手を『まひ』『やけど』『こおり』状態のうちの1つにする。どの状態異常になるかはランダム。
りんしょう	ノーマル	特殊	60	100	16	×	同じターンに他のポケモンも『りんしょう』を使おうとすると、『すばやさ』に関係なく最初に使用したポケモンに続いて使用でき、最初以外の『りんしょう』は威力が2倍になる。音系の技。相手の『みがわり』状態を貫通する。(ダブルバトル用)
いびき	ノーマル	特殊	50	100	16	×	自分が『ねむり』状態の時のみ使用可能。30%の確率で相手をひるませる。音系の技。相手の『みがわり』状態を貫通する。
てだすけ	ノーマル	変化	-	-	20	×	必ず先制できる(優先度:+5)。使用したターンの間、味方の技の威力を1.5倍にする。
バトンタッチ	ノーマル	変化	-	-	20	×	他の味方のポケモンと交代し、かかっていた補助効果を引き継ぐ。
ねごと	ノーマル	変化	-	-	12	×	自分が『ねむり』状態の時のみ使用可能。自分の持っている技のうち1つをランダムで使う。PPが減少するのはこの技のみ。
こらえる	ノーマル	変化	-	-	12	×	必ず先制できる(優先度:+4)。そのターンに『ひんし』状態になる攻撃を受けてもHPが1残る。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。
ロックオン	ノーマル	変化	-	-	8	×	次のターン、使った相手に自分の技が必ず命中する。
まもる	ノーマル	変化	-	-	8	×	必ず先制でき(優先度:+4)、そのターンの間、相手の技を受けない。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。ダイマックス技や第7世代のZワザの攻撃技は貫通し、1/4のダメージを受ける。
みがわり	ノーマル	変化	-	-	12	×	自分のHPを最大HPの1/4だけ減らして、減らしたHPと同じHPの自分の分身を作り、分身のHPが0になるまですべての攻撃を自分の代わりに分身が受ける。分身は状態異常にならない。ただし、音系の技などはそのまま受ける。相手のダイマックス技も防げるが、自分がダイマックスすると分身が消える。
かげぶんしん	ノーマル	変化	-	-	16	×	自分の回避率を1段階上げる。
かなしばり	ノーマル	変化	-	100	20	×	相手が最後に使った技を4ターンの間使えなくする。
ソーラービーム	くさ	特殊	120	100	12	×	1ターン目は攻撃せずに、2ターン目で攻撃する。天気が『にほんばれ』の時は1ターンためずに攻撃でき、『あめ』『ゆき』『すなあらし』の時は威力が半分になる。
だいもんじ	ほのお	特殊	110	85	8	×	10%の確率で相手を『やけど』状態にする。
かえんほうしゃ	ほのお	特殊	90	100	16	×	10%の確率で相手を『やけど』状態にする。
おにび	ほのお	変化	-	85	16	×	相手を『やけど』状態にする。『ほのお』タイプには無効。
にほんばれ	ほのお	変化	-	-	8	×	5ターンの間、天気を『にほんばれ』にする。『ほのお』タイプの技のダメージが1.5倍になり、『みず』タイプの技のダメージが半減する。『こおり』状態にならない。
ダイビング	みず	物理	80	100	12	○	1ターン目に水中へ潜り、2ターン目に攻撃する。水中にいる間は『なみのり』『うずしお』以外の技を受けない。
ハイドロポンプ	みず	特殊	110	80	8	×	通常攻撃。
なみのり	みず	特殊	90	100	16	×	自分以外全員が対象。相手が『ダイビング』を使っている時でも命中し、ダメージが2倍になる。
かみなり	でんき	特殊	110	70	12	×	30%の確率で相手を『まひ』状態にする。天気が『あめ』の時は必ず命中し、『にほんばれ』の時は命中率が50%になる。相手が技『そらをとぶ』『とびはねる』『フリーフォール』を使っている時でも命中する。
10まんボルト	でんき	特殊	90	100	16	×	10%の確率で相手を『まひ』状態にする。
でんじは	でんき	変化	-	90	20	×	相手を『まひ』状態にする。『じめん』タイプや『でんき』タイプには無効。
とんぼがえり	むし	物理	70	100	20	○	攻撃後、手持ちのポケモンと入れ替わる。
とびつく	むし	物理	50	100	20	○	100%の確率で相手の『すばやさ』ランクを1段階下げる。
まとわりつく	むし	特殊	20	100	20	○	相手を『バインド』状態にして、4~5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、その間『ゴースト』タイプではない相手は逃げたり交代できない。
そらをとぶ	ひこう	物理	90	95	16	○	1ターン目に空中へ飛び上がり、2ターン目に攻撃する。空中にいる間は『うちおとす』『かぜおこし』『かみなり』『サウザンアロー』『スカイアッパー』『たつまき』『ぼうふう』以外の技を受けない。
アクロバット	ひこう	物理	55	100	16	○	自分が道具を持っていない時、威力が2倍になる。
サイコファング	エスパー	物理	85	100	12	○	相手の技『リフレクター』『ひかりのかべ』『オーロラベール』を解除して攻撃する。
ねむる	エスパー	変化	-	-	8	×	HPと状態異常をすべて回復した後、2ターンの間『ねむり』状態になり、3ターン目で目を覚ます。
リフレクター	エスパー	変化	-	-	20	×	5ターンの間、相手の物理攻撃のダメージを半分にする。味方が複数の場合は半分ではなく2/3になる。急所に当たった場合は軽減されない。交代しても効果は続く。
ひかりのかべ	エスパー	変化	-	-	20	×	5ターンの間、相手の特殊攻撃のダメージを半分にする。味方が複数の場合は半分ではなく2/3になる。急所に当たった場合は軽減されない。交代しても効果は続く。
こうそくいどう	エスパー	変化	-	-	20	×	自分の『すばやさ』ランクが2段階上がる。
ゴーストダイブ	ゴースト	物理	90	100	12	○	1ターン目に消えて、2ターン目に攻撃する。消えている間はほとんどの技を受けない。相手の『まもる』『みきり』『たたみがえし』『トーチカ』『キングシールド』『ニードルガード』『ブロッキング』『スレッドトラップ』『かえんのまもり』の効果を受けない(『ダイウォール』を除く)。(なお、第7世代以降は相手が『ちいさくなる』を使っている時の必中2倍効果はない)
